endpoint_margin,beta_sign,theta0_ref,alpha,beta,beta_for_prb,kappa,phi,Qx_ref,Qy_ref,theta1,theta2,theta3,Qx_prb,Qy_prb,theta0_prb,success,residual_norm,tip_error_percent,slope_error_percent,delta_theta_norm,branch_jump_flag
0.02,1,1.393859833133734,0.3604866703774209,1.200810843351143,1.200810843351143,1.0,1.5707963267948966,0.6806782427185074,0.6219446474537164,0.46108362471460074,0.4656904892560532,0.4725816898902939,0.6792068247071327,0.623397487356478,1.399355803860948,True,0.0,0.20678043300212326,0.39429866594675456,0.012048369458783138,False
0.02,1,1.4146758912115178,0.37211515262359174,1.2200248401136622,1.2200248401136622,1.0,1.5707963267948966,0.6719651167141573,0.6280786578018356,0.4685352989757147,0.4722910073064657,0.47936960080557983,0.6704337169528387,0.6295732158713429,1.4201959070877603,True,0.0,0.21398338842292902,0.39019650441029374,0.012048652307267711,False
0.02,1,1.4354919492893017,0.3840353139507526,1.2394116571192197,1.2394116571192197,1.0,1.5707963267948966,0.663183204151786,0.634076141099862,0.4759978367130809,0.4788666679247551,0.48617039871316065,0.6615899554995193,0.6356120627292595,1.4410349033509966,True,0.0,0.22130288112902916,0.38613619981910585,0.012049051175436639,False
0.02,1,1.4563080073670855,0.3962568677803891,1.2589787413302722,1.2589787413302722,1.0,1.5707963267948966,0.654335244407902,0.639936131944632,0.48347117869024253,0.48541654005430074,0.4929851373312912,0.6526782391507058,0.6415129845135604,1.4618728560758345,True,2.220446049250313e-16,0.22873850673886023,0.38212031250242595,0.012049577903580072,False
0.02,1,1.4771240654448694,0.40878998683493545,1.2787337280840534,1.2787337280840534,1.0,1.5707963267948966,0.6454240019525959,0.6456577294538983,0.4909552752770887,0.49193966318654786,0.4998148939931725,0.6437012921723295,0.647274997998021,1.482709832456809,True,0.0,0.23628979095242456,0.3781515136480706,0.012050245357676863,False
0.02,1,1.4979401235226533,0.4216453265719887,1.2986844521622467,1.2986844521622467,1.0,1.5707963267948966,0.6364522653483081,0.6512400980261729,0.49845008664432655,0.4984350459440745,0.5066607711101013,0.6346618633544374,0.6528971807303974,1.5035459036985024,True,2.220446049250313e-16,0.2439561925489111,0.3742325936677763,0.012051067508621028,False
0.02,1,1.5187561816004371,0.43483405026406563,1.3188389594852976,1.3188389594852976,1.0,1.5707963267948966,0.6274228462516328,0.6566824681086334,0.5059555829936233,0.5049016645835431,0.513523897697961,0.6255627250726502,0.6583786716155978,1.5243811452751275,True,2.220446049250313e-16,0.25173710766468294,0.37036647111867943,0.012052059518547723,False
0.02,1,1.5395722396782208,0.4483678558517094,1.339205519480426,1.339205519480426,1.0,1.5707963267948966,0.6183385784188233,0.6619841369748879,0.5134717448257355,0.5113384614126901,0.5204054309717332,0.6164066723497039,0.6637186714989513,1.5452156372101589,True,0.0,0.25963187545192007,0.3665562022031263,0.012053237834882834,False
0.02,1,1.5603882977560046,0.4622590047099847,1.359792638176843,1.359792638176843,1.0,1.5707963267948966,0.6092023167156898,0.6671444695145538,0.520998563249203,0.5177443431149957,0.5273065580130599,0.6071965219174571,0.6689164437501048,1.566049464377259,True,2.220446049250313e-16,0.26763978523519727,0.3628049908728227,0.012054620292830219,False
0.02,1,1.5812043558337885,0.47652035248190583,1.3806090720865278,1.3806090720865278,1.0,1.5707963267948966,0.6000169361326305,0.6721628990367924,0.5285360403324398,0.5241181789751029,0.5342284975162562,0.5979351112798015,0.673971314848133,1.586882716823799,True,2.220446049250313e-16,0.27576008530175977,0.35911619956399327,0.012056226227050416,False
0.02,1,1.6020204139115723,0.4911653821473805,1.4016638429343613,1.4016638429343613,1.0,1.5707963267948966,0.5907853308055594,0.6770389280901528,0.5360841895023754,0.5304587989974375,0.5411725016185998,0.5886252977769392,0.678882674968524,1.6077154901184125,True,4.440892098500626e-16,0.28399199348280496,0.35549336059549935,0.01205807659341208,False
0.02,1,1.6228364719893562,0.5062082395129139,1.4229662533073846,1.4229662533073846,1.0,1.5707963267948966,0.581510413043548,0.6817721293012896,0.5436430359931161,0.5367649919097863,0.5481398578211737,0.5792699576515626,0.6836499785727834,1.628547885724076,True,4.965068306494546e-16,0.29233470970663294,0.35194018826299206,0.012060194101750106,False
0.02,1,1.64365253006714,0.5216637713258785,1.444525903299596,1.444525903299596,1.0,1.5707963267948966,0.5721951123640465,0.6863621462353814,0.5512126173484121,0.5430355030427524,0.5551318910070158,0.5698719851175978,0.6882727450014421,1.6493800113981802,True,4.49248478514745e-13,0.30078743072250996,0.34846059165596377,0.012062603360593942,False
